start_pose_name,id,hard_constraints,estimated_duration,earliest_start_time,latest_start_time,finish_pose_name
inspection_area,c95f3d1e-88f5-46cb-b5af-77c6296e6178,True,3.93,489.97,549.97,trash_can
trash_bin1,46e7819c-89d8-4b32-88b4-348f057c2cde,True,2.03,1237.71,1297.71,second_door_outside
second_door_outside,c0b81ab5-9b18-4540-9711-b3f6d84dcce4,True,2.76,120,180,shelf
observation_pose,75a56b8b-fbdc-4dd1-9b9e-2ed5abfa7e79,True,2.3,367.67,427.67,living_room
living_room,f5d6c70f-d0dc-4b8b-b6fc-483a7da1fd85,True,4.91,242.76,302.76,inspection_area
table,df9b84da-cf33-40e0-ba4e-df35e63c868f,True,3.73,1113.98,1173.98,trash_can
table,af1c6d7a-74e6-4aa4-bf0a-e8dcba350200,True,9.12,984.86,1044.86,second_door_outside
shelf_cupboard,24ee8116-82d2-452f-bf06-03121ffc5f58,True,1.09,863.77,923.77,shelf
shelf,609b8799-d25a-4f8a-af2c-6673d6a72b59,True,8.24,735.53,795.53,kitchen
second_door,8c5d9eda-2cab-4f4e-8a7f-5be365c33255,True,1.63,613.9,673.9,second_door_outside
