hard_constraints,finish_pose_name,estimated_duration,id,latest_start_time,earliest_start_time,start_pose_name
True,table,2.36,efef73b0-99f4-4a22-8152-5cdcf68eb9e2,1307.48,1247.48,inspection_area
True,kitchen,2.85,a5caaba0-6db0-45c9-85b1-e3b5fba04fdc,180,120,living_room
True,second_door_outside,2.03,b603693b-afb8-444c-b2de-57d5649faf2e,559.32,499.32,trash_bin1
True,second_door_outside,9.55,85acd30d-04c6-4195-949c-f6e69eee0ab3,931.71,871.71,observation_pose
True,observation_pose,4.19,33d55da2-525f-41ac-922f-4a4d2ecea143,1061.26,1001.26,cupboard
True,inspection_area,4.09,ef854264-7bc0-4612-a039-1b49099235ad,807.62,747.62,shelf
True,second_door,6.27,ef1bff87-2464-4740-9d41-94c77134a09f,681.35,621.35,inspection_area
True,trash_can,9.68,b91f92cf-bfea-4f52-a60b-d574f4ad2e7e,302.85,242.85,second_door
True,trash_bin1,2.03,438bcd9f-341c-412e-9205-601f519f2cb5,1185.45,1125.45,second_door_outside
True,observation_pose,6.79,3336dc8d-a8f7-4a46-9187-19cc1a985e8b,432.53,372.53,shelf
